jgagnant,tropheesg,cg1,cg2,cg3,cg4,cg5,cg6,cg7,cg8,jperdant,tropheesp,cp1,cp2,cp3,cp4,cp5,cp6,cp7,cp8
#VVJVGPGPU,6768,Barbarian Barrel,Wizard,Mega Knight,Knight,The Log,Royal Ghost,Golden Knight,Guards,#V9PJPU9CP,6758,Royal Hogs,Goblin Cage,Flying Machine,Barbarian Barrel,Royal Recruits,Fireball,Arrows,Zappies
#V9PJPU9CP,6728,Royal Hogs,Goblin Cage,Flying Machine,Barbarian Barrel,Royal Recruits,Fireball,Arrows,Zappies,#2YR8YPG9C,6738,Skeleton Army,Minions,Mini P.E.K.K.A,Zap,P.E.K.K.A,Baby Dragon,Goblin Barrel,Princess
#V9PJPU9CP,6698,Royal Hogs,Goblin Cage,Flying Machine,Barbarian Barrel,Royal Recruits,Fireball,Arrows,Zappies,#200CLYG02U,6699,Mini P.E.K.K.A,Skeleton Army,Witch,Mother Witch,Royal Hogs,Bats,Dart Goblin,Arrows
#YC0V0L22J,6713,Witch,Princess,Skeleton Army,Ram Rider,Zap,Golden Knight,Elixir Golem,The Log,#V9PJPU9CP,6729,Royal Hogs,Goblin Cage,Flying Machine,Barbarian Barrel,Royal Recruits,Fireball,Arrows,Zappies
#V9PJPU9CP,6700,Royal Hogs,Goblin Cage,Flying Machine,Barbarian Barrel,Royal Recruits,Fireball,Arrows,Zappies,#V8GQCVQGV,6694,Inferno Dragon,Mega Knight,Battle Ram,Boss Bandit,Barbarians,Arrows,Ice Wizard,Princess
#V9PJPU9CP,6669,Royal Hogs,Goblin Cage,Flying Machine,Barbarian Barrel,Royal Recruits,Fireball,Arrows,Zappies,#UVCP008V9,6687,Baby Dragon,Dart Goblin,Mighty Miner,Elite Barbarians,Goblin Barrel,Cannon,The Log,Skeletons
#V9PJPU9CP,6639,Royal Hogs,Goblin Cage,Flying Machine,Barbarian Barrel,Royal Recruits,Fireball,Arrows,Zappies,#20JU9QLPVC,6644,Archers,Tesla,Knight,X-Bow,Fireball,Skeletons,Ice Spirit,The Log
#V9PJPU9CP,6608,Royal Hogs,Goblin Cage,Flying Machine,Barbarian Barrel,Royal Recruits,Fireball,Arrows,Zappies,#20PQ2JYJUQ,6624,Royal Recruits,Arrows,Baby Dragon,Goblin Cage,Knight,Barbarian Barrel,Mini P.E.K.K.A,Witch
#CCCVGGVPG,6627,Mega Knight,Firecracker,Electro Wizard,The Log,Mini P.E.K.K.A,Prince,Hog Rider,Knight,#V9PJPU9CP,6639,Royal Hogs,Goblin Cage,Flying Machine,Barbarian Barrel,Royal Recruits,Fireball,Arrows,Zappies
#V9PJPU9CP,6609,Royal Hogs,Goblin Cage,Flying Machine,Barbarian Barrel,Royal Recruits,Fireball,Arrows,Zappies,#UG0RYJVVJ,6620,Tesla,Witch,Guards,Hog Rider,Rage,The Log,Mini P.E.K.K.A,Little Prince
